Title,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
The Cheetah Girls: Passport to Stardom,0.18,0,0,0.01,0.2
UFC Personal Trainer: The Ultimate Fitness System,0.12,0.06,0,0.02,0.2
How to Train Your Dragon 2,0.05,0.13,0,0.02,0.2
Shark Tale,0.15,0.04,0,0.01,0.2
NFL Street 2,0.15,0.04,0,0.01,0.2
Pro Yaky? Spirits 2013,0,0,0.2,0,0.2
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.1,0.08,0,0.03,0.2
My Secret World by Imagine,0,0.2,0,0,0.2
Soldier of Fortune: Payback,0.18,0.01,0,0.01,0.2
Ridge Racer,0.04,0.08,0.05,0.03,0.2
Bleach: The 3rd Phantom,0.1,0.02,0.07,0.01,0.2
Gladius,0.1,0.08,0,0.03,0.2
Family Feud: 2012 Edition,0.19,0,0,0.01,0.2
Dave Mirra Freestyle BMX 2,0.15,0.04,0,0.01,0.2
Spore Hero Arena,0.18,0,0,0.01,0.2
Pro Yaky? Spirits 2012,0,0,0.2,0,0.2
Puzzle & Dragons X: God Chapter / Dragon Chapter,0,0,0.2,0,0.2
SpongeBob SquarePants: Revenge of the Flying Dutchman,0.15,0.04,0,0.01,0.2
Record of Agarest War,0.18,0,0.01,0.01,0.2
Baja: Edge of Control,0.12,0.06,0,0.02,0.2
Sid Meier's Pirates!,0.16,0.01,0,0.02,0.2
Taiko no Tatsujin: Go! Go! Godaime,0,0,0.2,0,0.2
Taiko Drum Master,0.1,0.08,0,0.03,0.2
High School Musical 3: Senior Year DANCE!,0.18,0,0,0.01,0.2
Harry Potter and the Goblet of Fire,0.17,0.01,0,0.02,0.2
Bust-A-Move 2 Arcade Edition,0.11,0.07,0,0.01,0.2
South Park: The Stick of Truth,0.07,0.1,0,0.02,0.2
Tom Clancy's Splinter Cell: Essentials,0.17,0.01,0,0.02,0.2
Tetris Worlds (Online Edition),0.15,0.04,0,0.01,0.2
Armored Core 4,0.09,0,0.09,0.01,0.2
Sleeping Dogs,0.1,0.09,0,0.02,0.2
Forgotten Realms: Demon Stone,0.1,0.08,0,0.03,0.2
Super Baseball Simulator 1.000,0,0,0.2,0,0.2
Barbie Horse Adventures: Riding Camp,0.18,0,0,0.01,0.2
Resident Evil: Revelations,0.07,0.08,0.03,0.01,0.2
Go Play: Lumberjacks,0.18,0,0,0.01,0.2
Looney Tunes: Space Race,0.1,0.08,0,0.03,0.2
Puzzle Challenge: Crosswords and More!,0.18,0,0,0.01,0.2
NASCAR Unleashed,0.18,0,0,0.01,0.2
Backyard Hockey,0.14,0.05,0,0,0.2
Playboy: The Mansion,0.1,0.08,0,0.03,0.2
Jikkyou Powerful Pro Yakyuu 2010,0,0,0.2,0,0.2
Shiren the Wanderer,0.08,0,0.11,0.01,0.2
Ore no Shikabane o Koete Yuke,0,0,0.2,0,0.2
Shaman King: Spirit of Shamans,0,0,0.18,0.01,0.2
Tiger Woods PGA Tour 06,0.18,0,0,0.01,0.2
Conan,0.16,0.02,0,0.02,0.2
Ratatouille,0.14,0.05,0,0,0.2
The Fairly Odd Parents: Enter the Cleft,0.14,0.05,0,0,0.2
Warriors Orochi,0.17,0.01,0,0.02,0.2
MC Groovz Dance Craze,0.15,0.04,0,0.01,0.2
The Thing,0.15,0.04,0,0.01,0.2
Tom and Jerry in House Trap,0.11,0.07,0,0.01,0.2
Power Rangers: Time Force,0.14,0.05,0,0,0.2
101-in-1 Explosive Megamix,0.05,0.13,0,0.02,0.2
X-Men Origins: Wolverine,0.15,0.03,0,0.02,0.2
Jikkyou Powerful Pro Yakyuu 2011,0,0,0.2,0,0.2
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,0,0,0.2,0,0.2
Baldur's Gate: Dark Alliance,0.15,0.04,0,0.01,0.2
Family Guy,0.18,0,0,0.02,0.2
Prince of Persia: Warrior Within,0.15,0.04,0,0.01,0.2
UFC: Tapout,0.14,0.05,0,0.01,0.2
Aikatsu! Cinderella Lesson,0,0,0.2,0,0.2
Marvel Super Hero Squad: Comic Combat,0.15,0.03,0,0.01,0.2
Test Drive Unlimited 2,0.05,0.11,0,0.03,0.2
Mega Man Legacy Collection,0.13,0,0.05,0.02,0.2
Predator: Concrete Jungle,0.1,0.07,0,0.03,0.2
Beyblade: Metal Fusion - Battle Fortress,0.15,0,0.03,0.01,0.2
WipeOut 3 The Game,0.18,0,0,0.01,0.2
Big Mutha Truckers 2,0.1,0.07,0,0.03,0.2
Shutter Island,0,0.17,0,0.03,0.2
The Naked Brothers Band: The Video Game,0.18,0,0,0.01,0.2
Demon Gaze,0.06,0.03,0.08,0.02,0.2
Zombie Army Trilogy,0.04,0.12,0,0.03,0.2
NHL FaceOff 2001,0.1,0.07,0,0.02,0.2
Mana Khemia 2: Fall of Alchemy,0.07,0.05,0.05,0.02,0.2
The Great Escape,0.1,0.07,0,0.02,0.2
Dexter's Lab Chess Challenge,0.14,0.05,0,0,0.2
Nostalgia,0.16,0,0.02,0.01,0.19
DiRT Showdown,0.02,0.13,0,0.04,0.19
Iron Chef America: Supreme Cuisine,0.18,0,0,0.01,0.19
Arcade Shooting Gallery,0.18,0,0,0.01,0.19
The Rise of the Argonauts,0.05,0.12,0,0.03,0.19
Big Mutha Truckers,0.15,0.04,0,0.01,0.19
ESA Foundation Compilation,0.1,0.07,0,0.02,0.19
The Hobbit,0.14,0.05,0,0,0.19
The King of Fighters XI,0.07,0.06,0.04,0.02,0.19
Ninja Gaiden 3,0.15,0.03,0,0.02,0.19
Metro: Last Light,0.06,0.11,0,0.02,0.19
Dragon Ball Z: Idainaru Dragon Ball Densetsu,0,0,0.18,0.01,0.19
Silent Hill HD Collection,0.11,0.06,0.01,0.02,0.19
Bound By Flame,0.07,0.08,0,0.04,0.19
Conflict: Denied Ops,0.08,0.09,0,0.02,0.19
Saw II: Flesh & Blood,0.1,0.07,0,0.03,0.19
Ice Age: Dawn of the Dinosaurs,0.13,0.04,0,0.02,0.19
Sniper Elite,0.1,0.07,0,0.02,0.19
Arc Rise Fantasia,0.13,0,0.06,0.01,0.19
"Ni Hao, Kai-lan: Super Game Day",0.18,0,0,0.01,0.19
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,0,0,0.19,0,0.19
Dynasty Warriors: Gundam 2,0.07,0.03,0.08,0.01,0.19
Petz Pony: Beauty Pageant,0.18,0,0,0.01,0.19
Parlor! Mini 4,0,0,0.19,0,0.19
Breath of Fire II,0.14,0.05,0,0,0.19
The Spiderwick Chronicles,0.17,0.01,0,0.01,0.19
Danganronpa 2: Goodbye Despair,0,0,0.19,0,0.19
Aliens vs Predator,0,0.17,0,0.02,0.19
Ice Age 2: The Meltdown,0.15,0.04,0,0.01,0.19
Steins;Gate,0,0,0.19,0,0.19
Enchanted Arms,0.16,0.02,0,0.02,0.19
Dinotopia: The Timestone Pirates,0.14,0.05,0,0,0.19
Power Pro Kun Pocket 12,0,0,0.19,0,0.19
J-League Jikkyou Winning Eleven 3,0,0,0.18,0.01,0.19
The Sims 4: Get Together,0.05,0.13,0,0.01,0.19
Jissen Pachi-Slot Hisshouhou,0,0,0.19,0,0.19
Pac-Man & Galaga Dimensions,0.1,0.04,0.04,0.01,0.19
Quantum Theory,0.05,0.09,0.02,0.03,0.19
Manhunt,0.14,0.04,0,0.01,0.19
NCAA Final Four 2003,0.09,0.07,0,0.02,0.19
Air Conflicts: Secret Wars,0.1,0.06,0,0.03,0.19
Rio,0.14,0.04,0,0.01,0.19
Dream Salon,0.18,0,0,0.01,0.19
Scene It? Twilight,0.11,0.07,0,0.02,0.19
Disgaea DS,0.11,0.02,0.05,0.01,0.19
Peter Jackson's King Kong: The Official Game of the Movie,0.16,0.01,0,0.02,0.19
Space Invaders Extreme 2,0.17,0.01,0,0.01,0.19
X-Men Origins: Wolverine,0.13,0.03,0,0.03,0.19
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,0,0,0.19,0,0.19
Mystery Tales of Time Travel,0.01,0.16,0,0.02,0.19
J-League Excite Stage '96,0,0,0.19,0,0.19
Risen,0.07,0.11,0,0.01,0.19
Hidden Mysteries: Vampire Secrets,0.06,0.11,0,0.02,0.19
New Love Plus,0,0,0.19,0,0.19
Final Fantasy XI,0.17,0.01,0,0.01,0.19
Breath of Fire: Dragon Quarter,0.09,0.07,0,0.02,0.19
Jikkyou J-League Perfect Striker,0,0,0.19,0,0.19
Dante's Inferno,0.12,0.03,0.01,0.03,0.19
Shrek: Forever After,0.16,0.02,0,0.02,0.19
Rock Band Country Track Pack,0.18,0,0,0.01,0.19
Super Robot Taisen: Scramble Commander,0,0,0.19,0,0.19
Re-Volt,0.11,0.07,0,0.01,0.19
Conception II: Children of the Seven Stars,0.13,0,0.04,0.02,0.19
Descent,0.11,0.07,0,0.01,0.19
Supreme Commander 2,0,0.15,0,0.04,0.19
DanceMasters,0.15,0.02,0.02,0.01,0.19
50 Cent: Blood on the Sand,0.1,0.06,0.01,0.03,0.19
Disney's Magical Mirror Starring Mickey Mouse,0.15,0.04,0,0.01,0.19
Need for Speed: The Run,0.09,0.09,0,0.02,0.19
Jeep Thrills,0.18,0,0,0.01,0.19
Conflict: Denied Ops,0.05,0.1,0,0.03,0.19
FaceBreaker,0.15,0.02,0,0.02,0.19
Major League Baseball 2K12,0.18,0,0,0.01,0.19
Might & Magic: Clash of Heroes,0.16,0.02,0,0.01,0.19
Avatar: The Last Airbender - Into the Inferno,0.17,0.01,0,0.01,0.19
IHRA Professional Drag Racing 2005,0.09,0.07,0,0.02,0.19
Mace Griffin: Bounty Hunter,0.09,0.07,0,0.02,0.19
Legacy of Kain: Defiance,0.14,0.04,0,0.01,0.19
Story of Seasons: Good Friends of the Three Villages,0,0,0.19,0,0.19
Chaotic: Shadow Warriors,0.18,0,0,0.01,0.19
Majin and the Forsaken Kingdom,0.14,0.03,0,0.01,0.19
Trivial Pursuit unhinged,0.09,0.07,0,0.02,0.19
Tales of the World: Narikiri Dungeon 2,0,0,0.19,0,0.19
Spider-Man: Shattered Dimensions,0.17,0.01,0,0.01,0.19
Aliens versus Predator: Extinction,0.09,0.07,0,0.02,0.19
Plants vs. Zombies,0.18,0,0,0.01,0.19
NBA Live 14,0.16,0.02,0,0.01,0.19
Silent Scope 2: Dark Silhouette,0.09,0.07,0,0.02,0.19
Dave Mirra Freestyle BMX 2,0.14,0.05,0,0,0.19
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,0,0,0.19,0,0.19
Tokimeki Memorial Girl's Side 3rd Story,0,0,0.19,0,0.19
NHL Hitz Pro,0.09,0.07,0,0.02,0.19
Tom Clancy's Splinter Cell: Blacklist,0.04,0.13,0,0.03,0.19
Allied General,0.11,0.07,0,0.01,0.19
Fire ProWrestling G,0,0,0.18,0.01,0.19
Kamen Rider: Battride War,0,0,0.19,0,0.19
Binary Domain,0.09,0.07,0.02,0.02,0.19
IL-2 Sturmovik: Birds of Prey,0.08,0.07,0,0.04,0.19
Farming Simulator 2015,0.1,0.07,0,0.02,0.19
Armored Core: For Answer,0.06,0.02,0.1,0.01,0.19
Mahjong: Journey Quest for Tikal,0.15,0.03,0,0.01,0.19
uDraw Studio: Instant Artist,0.08,0.09,0,0.02,0.19
Naruto: Ninja Destiny,0.02,0.01,0.16,0,0.19
GunGriffon,0,0,0.19,0,0.19
SingStar Pop Vol.2,0.09,0.07,0,0.02,0.19
SNK Arcade Classics Vol. 1,0.09,0.07,0,0.02,0.19
Darkstalkers 3,0.11,0.07,0,0.01,0.19
SpongeBob's Surf & Skate Roadtrip,0.15,0.03,0,0.01,0.19
Frequency,0.09,0.07,0,0.02,0.19
Death Jr.,0.17,0,0,0.01,0.19
Cars: Race-O-Rama,0.14,0.03,0,0.02,0.19
Inazuma Eleven Strikers 2012 Xtreme,0,0,0.19,0,0.19
The Polar Express,0.14,0.05,0,0,0.19
2002 FIFA World Cup,0.14,0.04,0,0.01,0.19
Kan Colle Kai,0,0,0.19,0,0.19
SpongeBob SquigglePants 3D,0.13,0.05,0,0.02,0.19
Jampack: Summer 2003 (RP-T),0.09,0.07,0,0.02,0.19
Need for Speed: Shift 2 Unleashed,0.05,0.11,0,0.03,0.19
Monster 4x4: Stunt Racer,0.18,0,0,0.01,0.19
Frogger's Adventures 2: The Lost Wand,0.14,0.05,0,0,0.19
Sudeki,0.14,0.04,0,0.01,0.19
Rango: The Video Game,0.07,0.09,0,0.04,0.19
The Amazing Spider-Man (Console Version),0.15,0.03,0,0.01,0.19
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",0,0,0.19,0,0.19
Hyperdevotion Noire: Goddess Black Heart,0.08,0.02,0.06,0.03,0.19
Hexen,0.15,0.04,0,0,0.19
Mace: The Dark Age,0.15,0.04,0,0,0.19
AeroFighters Assault,0.15,0.04,0,0,0.19
Puyo Puyo Sun 64,0,0,0.16,0.03,0.19
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),0,0,0.19,0,0.19
Quake,0.15,0.04,0,0,0.19
Sesame Street: Elmo's Number Journey,0.15,0.04,0,0,0.19
Disney Magic World 2,0,0,0.19,0,0.19
Squeeballs Party,0.18,0,0,0.01,0.19
Tottadoo! Yoiko no Mujintou Seikatsu,0,0,0.19,0,0.19
Where's Waldo? The Fantastic Journey,0.18,0,0,0.01,0.19
Family Game Night 4: The Game Show,0.13,0.04,0,0.01,0.19
Teenage Mutant Ninja Turtles 2: Battle Nexus,0.15,0.04,0,0.01,0.19
Saints Row IV,0.11,0.06,0,0.02,0.19
Fighter Within,0.11,0.07,0,0.02,0.19
Barbie Horse Adventures: Riding Camp,0.09,0.07,0,0.02,0.19
SSX Tricky,0.14,0.05,0,0,0.19
Kenka Banchou 4: Ichinen Sensou,0,0,0.19,0,0.19
Warhammer: Shadow of the Horned Rat,0.11,0.07,0,0.01,0.19
Shadows of the Damned,0.1,0.06,0.01,0.02,0.19
NBA 2K11,0.18,0,0,0.01,0.19
Pro Yakyuu Team o Tsukurou!,0,0,0.19,0,0.19
Warriors: Legends of Troy,0.06,0.05,0.07,0.02,0.19
Jeopardy!,0.18,0,0,0.01,0.19
ESPN International Track & Field,0.09,0.07,0,0.02,0.19
Lunar Legend,0.14,0.05,0,0,0.19
Conflict: Global Terror,0.09,0.07,0,0.02,0.19
Valhalla Knights 3,0.04,0.01,0.12,0.01,0.19
Tamagotchi Party On!,0.12,0,0.06,0.01,0.19
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,0,0,0.19,0,0.19
Brunswick Pro Bowling,0.1,0.06,0,0.03,0.19
Shaun White Skateboarding,0.11,0.05,0,0.03,0.19
Hulk,0.15,0.04,0,0.01,0.19
The Heavy Rain and Beyond: Two Souls Collection,0,0.16,0,0.03,0.19
Cabela's Survival: Shadows of Katmai,0.11,0.05,0,0.03,0.19
Shaun White Skateboarding,0.14,0.03,0,0.01,0.19
Boogie,0.09,0.07,0,0.02,0.19
Gungrave,0.09,0.07,0,0.02,0.19
Phantasy Star Universe,0,0,0.19,0,0.19
Transworld Surf,0.09,0.07,0,0.02,0.19
God Eater Resurrection,0,0,0.19,0,0.19
Tenchu: Fatal Shadows,0.09,0.07,0,0.02,0.19
Active Health with Carol Vorderman,0,0.18,0,0.01,0.19
Escape The Museum,0.05,0.12,0,0.02,0.19
The Legend of Spyro: A New Beginning,0.15,0.04,0,0.01,0.19
International Soccer,0.18,0.01,0,0,0.19
Sing4: The Hits Edition,0.18,0,0,0.01,0.19
Jewel Master: Cradle of Athena,0.18,0,0,0.01,0.19
Princess Maker: Yumemiru Yosei,0,0,0.18,0.01,0.19
Pet Zombies,0.18,0,0,0.01,0.19
Big Air,0.1,0.07,0,0.01,0.19
Shining Force II,0,0,0.19,0,0.19
Gallop Racer,0,0,0.18,0.01,0.19
Harry Potter and the Prisoner of Azkaban,0.14,0.04,0,0.01,0.19
NASCAR Unleashed,0.18,0,0,0.01,0.19
3rd Super Robot Wars Z Jigoku Hen,0,0,0.19,0,0.19
Sudoku Gridmaster (JP sales),0,0,0.19,0,0.19
Dynasty Warriors Gundam,0.15,0.01,0.02,0.01,0.19
Taiko no Tatsujin: Wii U Version!,0,0,0.19,0,0.19
Monsters vs. Aliens,0.11,0,0,0.08,0.19
CSI: Fatal Conspiracy,0.11,0.05,0,0.02,0.19
College Slam,0.1,0.07,0,0.01,0.19
Arcania: Gothic 4,0.09,0.08,0,0.02,0.19
Mushroom Men: The Spore Wars,0.17,0.01,0,0.01,0.19
Zumba Fitness Rush,0,0.16,0,0.02,0.19
Pro Yaky? Spirits 4,0,0,0.19,0,0.19
Pictionary,0.1,0.07,0,0.02,0.19
SoulCalibur Legends,0.16,0.01,0,0.01,0.19
Daigasso! Band Brothers,0,0,0.19,0,0.19
Rise of the Kasai,0.09,0.07,0,0.02,0.19
Thoroughbred Breeder,0,0,0.19,0,0.19
F1 2011,0,0.15,0,0.04,0.19
Momotarou Dentetsu World,0,0,0.19,0,0.19
Nobunaga no Yabou: Souzou,0,0,0.19,0,0.19
Doctor Who: Return to Earth,0,0.16,0,0.02,0.19
The Munchables,0.17,0,0,0.01,0.19
We Dance,0,0.17,0,0.02,0.19
Chibi-Robo! Park Patrol,0,0,0.19,0,0.19
Bolt,0.12,0.05,0,0.02,0.19
Singstar: Ultimate Party,0,0.16,0,0.03,0.19
Mathews Bowhunting,0.18,0,0,0.01,0.19
3rd Super Robot Wars Z: Tengoku-Hen,0,0,0.19,0,0.19
One Piece: Unlimited Adventure,0.07,0,0.11,0.01,0.19
Remington Super Slam Hunting: North America,0.18,0,0,0.01,0.19
Crash & Spyro Superpack,0.13,0.05,0,0,0.19
Earth Defense Force: Insect Armageddon,0.1,0.05,0.03,0.01,0.19
Face Training,0,0,0.19,0,0.19
Star Trek: Legacy,0.14,0.03,0,0.02,0.19
ThunderStrike 2,0.1,0.07,0,0.01,0.19
Disney's Meet the Robinsons,0.17,0,0,0.01,0.19
Call of Duty: World at War,0.02,0.13,0,0.03,0.19
Pro Yaky? Spirits 2012,0,0,0.19,0,0.19
Kuma-Tomo,0,0,0.19,0,0.19
Super Real Mahjong P V,0,0,0.19,0,0.19
Thomas the Tank Engine & Friends,0.13,0.05,0,0,0.19
Grand Slam Tennis 2,0.1,0.07,0,0.02,0.19
Penguin no Mondai X: Tenkuu no 7 Senshi,0,0,0.19,0,0.19
The Scorpion King: Sword of Osiris,0.13,0.05,0,0,0.19
Bubsy 3D,0.1,0.07,0,0.01,0.19
Reel Fishing Paradise 3D,0.12,0,0.06,0.01,0.19
NCAA Final Four 2001,0.09,0.07,0,0.02,0.19
Farmtopia,0.18,0,0,0.01,0.19
Robin Hood: Defender of the Crown,0.09,0.07,0,0.02,0.19
SD Gundam GX,0,0,0.19,0,0.19
R-Type Final,0.09,0.07,0,0.02,0.19
Jackie Chan Adventures: Legend of the Dark Hand,0.13,0.05,0,0,0.19
MotoGP,0.05,0.11,0,0.02,0.19
Sega GT 2002,0.12,0.03,0.03,0.01,0.19
Ty the Tasmanian Tiger 3: Night of the Quinkan,0.09,0.07,0,0.02,0.19
WWE SmackDown vs. Raw 2009,0.15,0.02,0,0.01,0.19
Pro Evolution Soccer 2014,0,0,0.19,0,0.19
Samurai Warriors 2: Empires,0,0,0.19,0,0.19
Blood Omen 2,0.14,0.04,0,0.01,0.19
Jurassic: The Hunted,0.17,0,0,0.02,0.19
J-League Pro Soccer Club o Tsukurou! 5,0,0,0.19,0,0.19
Harry Potter: Quidditch World Cup,0.14,0.04,0,0.01,0.19
Dance Central: Spotlight,0.15,0.03,0,0,0.19
Little Battlers eXperience W,0,0,0.19,0,0.19
Magical Starsign (US sales),0.16,0.03,0,0,0.19
Tekken Tag Tournament 2,0.09,0.07,0.01,0.01,0.19
Hot Wheels: Battle Force 5,0.17,0,0,0.01,0.19
Dragon Blade: Wrath of Fire,0.17,0,0,0.01,0.19
La Pucelle: Tactics,0.09,0.07,0,0.02,0.19
Phantasy Star Nova,0,0,0.19,0,0.19
SBK X: Superbike World Championship,0.1,0.07,0,0.02,0.19
Samurai Warriors: State of War,0.07,0,0.11,0.01,0.19
Tiger Woods PGA Tour 07,0.13,0.05,0,0.01,0.19
Call of Juarez,0.14,0.02,0,0.01,0.19
Star Wars: The Clone Wars & Tetris Worlds,0.14,0.04,0,0.01,0.19
The Bee Game,0.17,0,0,0.01,0.19
EverQuest Online Adventures: Frontiers,0.09,0.07,0,0.02,0.19
Cabela's Survival: Shadows of Katmai,0.14,0.03,0,0.01,0.19
NBA Ballers: Chosen One,0.17,0,0,0.01,0.19
WWE All Stars,0.12,0.04,0,0.03,0.19
Treasures of the Deep,0.1,0.07,0,0.01,0.19
Phantasy Star Online Ver. 2,0,0,0.19,0,0.19
EyePet & Friends,0.06,0.09,0,0.03,0.19
The Lord of the Rings: War in the North,0.04,0.11,0,0.03,0.18
Major League Baseball 2K10,0.17,0,0,0.01,0.18
Fight Club,0.09,0.07,0,0.02,0.18
Hello Kitty: Birthday Adventures,0.06,0.11,0,0.02,0.18
Syndicate,0.1,0.06,0,0.02,0.18
Dance Dance Revolution: Disney Grooves,0.17,0,0,0.01,0.18
Pure Futbol,0.08,0.09,0,0.02,0.18
Harvest Moon: A Wonderful Life Special Edition,0.09,0.07,0,0.02,0.18
Sports Illustrated for Kids: Football,0.13,0.05,0,0,0.18
The Last Airbender,0.13,0.04,0,0.01,0.18
Happy Cooking,0.17,0,0,0.01,0.18
.hack//Quarantine Part 4: The Final Chapter,0.09,0.07,0,0.02,0.18
Close Combat: First to Fight,0.14,0.04,0,0.01,0.18
MotoGP 14,0.04,0.11,0,0.04,0.18
Indiana Jones and the Emperor's Tomb,0.14,0.04,0,0.01,0.18
NBA Live 08,0.17,0,0,0.02,0.18
Buffy the Vampire Slayer: Chaos Bleeds,0.09,0.07,0,0.02,0.18
Half-Minute Hero,0.08,0.02,0.07,0.02,0.18
Rock Band Track Pack Volume 2,0.16,0.01,0,0.01,0.18
Reel Fishing II,0.1,0.07,0,0.01,0.18
Ringling Bros. and Barnum & Bailey Circus,0.17,0,0,0.01,0.18
The Walking Dead: Season One,0.14,0,0.01,0.03,0.18
Ty the Tasmanian Tiger,0.14,0.04,0,0.01,0.18
Dead or Alive,0,0,0.18,0,0.18
Driving Emotion Type-S,0.04,0.03,0.11,0.01,0.18
Siren,0.09,0.07,0,0.02,0.18
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.15,0.02,0,0.01,0.18
NARC,0.14,0.04,0,0.01,0.18
Naruto Shippuden: Dragon Blade Chronicles,0.11,0.02,0.05,0.01,0.18
Dynasty Warriors 8: Empires,0.06,0.07,0.03,0.02,0.18
Super Robot Taisen J,0,0,0.18,0,0.18
Evolve,0.07,0.1,0,0.01,0.18
Nep League DS,0,0,0.18,0,0.18
Ar tonelico 2: Melody of Metafalica,0.04,0.03,0.11,0.01,0.18
de Blob 2,0.11,0.06,0,0.02,0.18
Lips: Party Classics,0.05,0.11,0,0.02,0.18
Casper: Friends Around the World,0.1,0.07,0,0.01,0.18
Borderlands,0.01,0.14,0,0.04,0.18
Jurassic Park III: Island Attack,0.13,0.05,0,0,0.18
Chaotic: Shadow Warriors,0.17,0,0,0.01,0.18
Ghostbusters: The Video Game,0.16,0.01,0,0.02,0.18
GameBoy Wars,0,0,0.18,0,0.18
Amplitude,0.09,0.07,0,0.02,0.18
Alone in the Dark,0.09,0.08,0,0.02,0.18
Company of Heroes: Anthology,0,0.15,0,0.04,0.18
Shape Up,0.08,0.09,0,0.01,0.18
Gauntlet: Seven Sorrows,0.14,0.04,0,0.01,0.18
AirForce Delta Storm,0.14,0.04,0,0.01,0.18
Trauma Team,0.15,0,0.02,0.01,0.18
Monopoly Party,0.14,0.04,0,0.01,0.18
Fear Effect 2: Retro Helix,0.1,0.07,0,0.01,0.18
How to Train Your Dragon,0.12,0.04,0,0.02,0.18
Remember Me,0.1,0.07,0,0.02,0.18
International Superstar Soccer 2000 (JP weekly sales),0,0,0.18,0,0.18
Chocobo no Fushigi Dungeon for WonderSwan,0,0,0.18,0,0.18
Klonoa: Door to Phantomile,0,0,0.17,0.01,0.18
Vietcong: Purple Haze,0.09,0.07,0,0.02,0.18
Hitman: HD Trilogy,0.07,0.09,0,0.02,0.18
Atari Anniversary Advance,0.13,0.05,0,0,0.18
Summer Athletics: The Ultimate Challenge,0,0,0,0.18,0.18
Driver: San Francisco,0.05,0.1,0,0.03,0.18
Metal Gear Ac!d 2,0.11,0.01,0.05,0.01,0.18
Hatsune Miku and Future Stars: Project Mirai,0,0,0.18,0,0.18
Let's TAP,0.09,0.06,0.01,0.02,0.18
X-Men Origins: Wolverine,0.13,0,0,0.05,0.18
TalkMan (Japan),0,0,0.18,0,0.18
Cabela's Adventure Camp,0.15,0.02,0,0.01,0.18
LEGO Marvel's Avengers,0.07,0.08,0.01,0.01,0.18
Bloody Roar: Primal Fury,0.14,0.04,0,0,0.18
Shrek SuperSlam,0.17,0,0,0.01,0.18
We Sing UK Hits,0,0.16,0,0.02,0.18
Mega Man Soccer,0.04,0.01,0.13,0,0.18
The Chronicles of Narnia: Prince Caspian,0.16,0.01,0,0.01,0.18
ZhuZhu Puppies,0.13,0.04,0,0.01,0.18
Rabbids Party Collection,0,0.16,0,0.02,0.18
Trinity Universe,0.07,0.06,0.03,0.02,0.18
Jewel Match,0.05,0.12,0,0.02,0.18
FIFA Soccer 07,0.14,0.04,0,0,0.18
Dungeon Travelers 2: The Royal Library & The Monster Seal,0.07,0.03,0.05,0.03,0.18
Dying Light,0.11,0.06,0,0.02,0.18
Vampire Savior: The Lord of Vampire,0,0,0.18,0,0.18
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,0.13,0.05,0,0,0.18
Super Robot Taisen UX,0,0,0.18,0,0.18
Six Flags Fun Park,0.17,0,0,0.01,0.18
Test Drive Off-Road Wide Open,0.15,0.03,0,0.01,0.18
Guilty Gear Xrd: Sign,0.09,0,0.07,0.02,0.18
Pro Yaky? Spirits 2011,0,0,0.18,0,0.18
Ben 10 Ultimate Alien: Cosmic Destruction,0.1,0.06,0,0.02,0.18
Dengeki Bunko Fighting Climax,0.08,0,0.07,0.03,0.18
Battle Commander: Hachibushu Shura no Heihou,0,0,0.18,0,0.18
Backbreaker,0.17,0,0,0.01,0.18
Odin Sphere: Leifthrasir,0.06,0.03,0.07,0.02,0.18
Bad Boys: Miami Takedown,0.14,0.04,0,0.01,0.18
Jampack Vol. 1,0.1,0.07,0,0.01,0.18
Spider-Man: Friend or Foe,0.16,0,0,0.01,0.18
Mega Man X: Command Mission,0.09,0.07,0,0.02,0.18
Tokyo Xtreme Racer DRIFT,0.09,0.07,0,0.02,0.18
Moon,0,0,0.17,0.01,0.18
FIFA Soccer 11,0,0.14,0,0.04,0.18
LEGO Marvel Super Heroes,0.04,0.12,0,0.02,0.18
Cabela's Big Game Hunter 2005 Adventures,0.13,0.04,0,0.01,0.18
Disney Friends,0.13,0.04,0,0.01,0.18
Sesame Street: Elmo's Letter Adventure,0.14,0.04,0,0,0.18
Re-Volt,0.14,0.04,0,0,0.18
Gokujou Parodius,0,0,0.18,0,0.18
Hyperdimension Neptunia,0.09,0,0.07,0.02,0.18
Gauntlet: Dark Legacy,0.14,0.04,0,0,0.18
A.C.E.: Another Century's Episode 2,0,0,0.18,0,0.18
Guitar Hero Live,0.12,0.04,0,0.02,0.18
Shadow The Hedgehog,0.13,0.04,0,0.01,0.18
Ridge Racer Unbounded,0.05,0.1,0,0.03,0.18
Burnout Legends,0.15,0.02,0,0.01,0.18
Horrid Henry: Missions of Mischief,0.01,0.15,0,0.02,0.18
